Dialetto,Italiano
dentón,dentone.
dentòt,dentuccio.
dentro  V.  dreni.  Dar  d.,"dare  in  baratto,"
denunzia,"denunzia;  querela,  accusa;  de¬"
denunziar,"denunziare,  accusate,"
♦denzolàr,V.  dcssolàr.
deograzia!,finalmente!  deogra/.ias  !
de  onda.  Nar,"andare,  camminare,  vacil¬"
depenar,"cancellare,  cassare,  depennare,"
depénzer,"dipingere,  figurare.  V.  depint."
deperir,"deperire,  decadere,  languire"
de  pianta,"di  pianta;  di  primo  getto,"
de  piàt.  Darghe.,di  piatto.  Co/p  d.  p.
"co*  la.  sòbria  eie,","piattonata,"
"deplnt,  depinto",dipinto.  Éserghe  lì  d.  -
"scrii ,  ne  d.",non  poter  veder  uno  dinan¬
Star  come  d.,"tornar  bene,  star  dipinto,"
stare  a  pennèllo.  E!  par  d.,sta  bene
depóner,"deporre;  depositare,"
depór,"deporre,  dichiarare,  testimoniare;"
depósit,bacino  in  cui  si  raccoglie  acqua
depositar,"depositare,  consegnare,"
deposizión,"deposizione,  dichiarazione,  te¬"
de  posta  (al  sòg  de  la  baia  rie.),rii
depreziàr,"deprezzare,  deprezzamento."
deprimer,"deprimere,  abbassare;  avvilire,"
de  primo  intro,"di  primo  tratto,  sulle"
deprofundis,deprofundis  (salmo).
depurar,"depurare,  purgare."
deputar,"deputare,  (dèputo  etc.) ;  eleggere;"
deputazión,deputazione.
de  rebaltón,"di  rimbalzo.  V.  tombolón,"
de  reversón.  Cascar,"cadere  rovescione,"
de  rif  o  de  raf,"a  dritto  o  a  torto,  a  ogni"
derimpèto,"dirimpetto,  di  fronte,  di  faccia,"
sb  d.,"avere,  far  valere  i  suoi  diritti,  o"
titoli  a.  Domandar  i  so  d.,"ripeterli,  ri¬"
derivar,"derivare,  provenire."
*deròca,"rovina,  sfacèlo  ;  diroccamento,"
derocàr,"diroccare,  rovinare,  smantellare,"
derogar,derogare;  prescindere.
*desabilié.  En,"vestito  da  casa,  da  ca¬"
dcsacar,levar  dal  sacco.
desagradir,disaggradire.  IP  è  propi  en  vo-
termc  d.,lei  non  vuole  accettare  nulla
de  saltón,"saltellando,  saltelloni."
*desamicizia,"ncmicizia,  inimicizia,  ni¬"
Kar  cn  ti-,"romper  l'amicizia,  nemicar¬"
deàamigo,"non  più  amico;  disamorato,"
desanimar,"disanimare,  scoraggiare,"
desaprovar,"disapprovare,  biasimare."
desarmonia,disannonia;  sconcerto.  User
cn  d.,non  andar  d’  accordo.
•desasi,"disagio,  scomodo,  disturbo.  I  e"
’rt  d.,"è  uno  scomodo,"
desavantagio,"svantaggio,  scapito,"
deéavezar,"svezzare,  divezzare,"
dosavi,"senza  saie,  sciocco;  senza  sapore ,"
♦desbalar,sballare.
*desbaratà,che  ha  gli  abiti  indosso
♦desbaratarse,"sbottonarsi,  slacciasi  (i  ve¬"
desbarazar,"sbarazzare,  sgombrare,"
desbarcar,sbarcare.  Sito  dove  se  desbarca  -
*desbastar,cavare  il  basto.
*desbastir,"cavar  l'imbastitura,"
desbatezàr,"cambiar  nome,  sbattezzare,"
desberetar,sberettare.
desbolar,"dissugellarc,  sbollare,"
desbosemàr,"sbozzimare,"
desbotir,"disfare,  levar  l’imbottitura,"
desbotonai,"sbottonare,  slacciare,"
desbrigar,"sb ligure  ;  spacciare,  disimpac¬"
*desbrocar,sbullettare  lr.  broca*
desbroiar,sbrogliare  ;  sbrigare.
*desbusacar,"sbisaceiare,"
*desbùta,"disputa,  discussione,  più  forte"
descadenar,"trarre  ili,  sciorrc  la  catena,"
dcscali^inar,"scalcinare,"
descalmar,togliere  il  neslo.
descàlz,scalzo  V.  descóts
descalzada,"scalzamento,  l'atto  c  l'effetto"
descanchenar,"sgangherare,  :  sconnettere,"
descantada  (sost.),1'ammalizzirsi;  sveglia¬
«descantar,"svegliare,  destare,  scuotere."
Dcscanlarse  far,"smghiuirsi,  sgranchirsi;"
descapelar,scappo  re.
descàpit,"scàpito,  svantaggio,"
descapitar,"scapitare,  metterci  del  suo."
descapriciar,"scapricciare,"
descapuzarse,levarsi  il  cappuccio  scap
descargabarll,scaricabarili.  Zugar  a  d.  -
descargada,"scaricamento,  scàrico,"
desgargadora,"scaricatoio,"
roca.  Descargarse,"scaricarsi,  levarsi  di"
•descarognar,sneghittire;  snidare;  netta¬
descartar,"svolgere  dotta  carta,  scartare,"
descasar,scassare.
*descatramar,"levare  il  catrame,"
descazament,"cacciata,  scacciamento,"
descazar,"cacciare,  scacciare,  discacciare,"
espellere.  Tornar  a  d.,ri  scacciare.  En  dtaol
descasa  V  altro,un  diavolo  scaccia  l’altro.
des9ervelarse,"scervellarsi,  beccarsi,  stil¬"
desciarir,"schiarire,  diradare."
♦desdìavar,"aprir  con  la  chiave,  aprire"
♦desciochir,lasciar  le  ava  (gallina  etc.).
desciodar,"schiodare,  sconliccare."
*descóbi,"male  appaiato,  spaiato,  scom¬"
*descobiàr,"sdoppiare  ;  dispaiare,  spaiare,"
*descoconar,"Icuttrc  il  cocchiume,  se.oc-"
e  ’l  pélo  descoèrt,"scollato,  scollacciato;"
speltoracciato.  Co  la  testa  descoèrta,a  ca¬
•descognar,"levar  le  biette,  le  zeppe,  sbiet¬"
tare.  Escr  tot  descognà,esser  dinoccolalo.
*descolàr,"scollare,"
descolorir,"scolorire,  scolorare,"
descolpa,"discolpa,  giustificazione,"
descolpar,"scolpare,  discolpare,  giustifi¬"
descólz,"scalzo,  scalzato  {antic.  discalzo)."
Mandar  in  hit  d.,mandale  a  letto  scal¬
descòmod,"incòmodo,  scòmodo,  (in  autori"
"descomodar,  descomodarse","incomodare,"
descompàgn,disuguale  (in  generi);  scom¬
descompagnar,"scompagnare,  spajare  ;  di¬"
de  scondón,"di  nascosto,  rii  soppiatto,  co¬"
desconsacrar,"sconsacrare,"
desconsigliar,"sconsigliare,  dissuadere,"
descontént,"scontento,  malcontento,"
descontentar,"scontentare,  rendere  scontento"
descoragir,"toglier  coraggio,  scoraggire,"
g/rse,"perdei1  coraggio,  disanimarsi,  sco¬"
descordar,"toglier  i  accordatura  scordare,"
descordi,"discorde,  dissenziente,"
descordia,"discordia  (di  animo)  ;  dissenso,"
♦descorporazión,"scòrporo,"
"descorporar,  descorporir",scorporare  ;  d  is-
D.  a  la  longa,"sermoneggiare,  parlare  a"
lungo.  Vcgncndo  a  d.  de,parlando  di.
E  vosi  via  disvolendo,c  via  discorrendo.
(luaiiva  descórerne,certamente;  non  se
descórs,"discorso,  parlata.  P.  de  poc  sugo"
secante,"discorsa,  lungagnata.  Senso  tanti"
1 1.,"senz’altro,  senza  tanti  discorsi."
dcscorsét,discorseti»  ;  sermoncino.
Dir  set  o  d.,"conebiudere,  definire,  risolvere."
*descorsivo,"discorritore,  loquace,  ciar-"
*desfacase,"scialacquone,  dissipatore,  dis-"
cire.  Quel  eh’  è  i lescosl,sdrùcio.
desfamar,"sfamare,  saziare."
*desfamatrimoni,"precipizio,  abisso,"
*descosì,sdrucito.
*desfantarse,dileguarsi  ne'  vari  sensi:
*descosidura,"scucitura;  sdrucitura,  sdrùcio."
disperdersi  (di  nebbia,nuvole  etc.);  fug¬
dcscrèdit,discrédito.  Roba  nodo  en  il.
*desfàntola,"enfiato,  gàngola.  Chi  g' ha"
descreditar,"levare  o  scemare  il  credito,"
sona  scrcditada,pers.  screditata.
desfar,"disfare  ne’  vari  sensi :  scomporre,"
descriver,"descrivere,  spiegare  ;  tracciare."
Che  nò  pòi  èser  deserti,indescrivibile.
*dcscroààr,strecciare.
logio  etc.);  distruggere  D.  el  gibm,sgo¬
mitolare  ;  en  grop,sciorre  un  nodo  ;  le
"boscare,  sboscare  ;  palchi",spalcare ;  pavi¬
menti  (de  quadrei  etc.'),smattonare.  De-
♦descuzar,"levar  dal  covo,  scovare.  V.  cuz."
sfarse,sciogliersi  ;  spappolarsi  (andare  in
desdebitarse,sdebitarsi  ;  uscir  di  debito.
mónega,spretarsi  ;  sfratarsi;  smonacarsi.
Dcsfarse  de  ria  cosa,"darla  via,  disfarsene."
desdopiàr,"sdoppiare,  scempiare,"
"desdòt,  desdòto","diciotto,  donde  diciot¬"
D.  miti,dieci  mila.  Moneda  de  d.  cen¬
Dcsfarse  per  qualchedun,"struggersi,  sa¬"
crificarsi  per.  Èser  desfàt,esser  magris¬
desfasar,sfasciare.
desfàta,"sfacimento,  disfacimento;  disfatta."
desfavor,"sfavore,  disgrazia."
|  desfegurar,"sfigurare,  deformare  ;  coulraf-"
deserta,decina.
desepolìr,"disseppellire,  dissotterrare."
*desèr,"giardinetto  {/rane,  dessert.)"
desèrt,"deserto  :  anco  per  luogo,  per  cam¬"
"desesèt,  desesète","diciassette,  donde  di¬"
ciassettesimo.  0  set  o  d.,a  ogni  modo.
desferar,sferrare.
*desferenziar,"separare,  spartire  (i  liti¬"
renziarse,"trarsi  d’impaccio,  disimpacciarsi,"
"♦desfiadir,  desfiadirse",togliere  o  sce¬
desfiamar,"levar  l’ infiammazione,  disin¬"
desfibiar,sfibbiare  ;  sciorre.
desfida,"sfida,  disfida  ( i/ncsta  per  i  giochi)."
desfidar,"sfidare,  disfidare,  provocare,"
desfilada,"sfilata;  serie;  infilata,  infilzata"
"desfilar,  desfilarse","sfilare,  sfilarsi."
desfiorir,"perdere  il  fiore,  sfiorire,  donile"
desfitar,sfittare;  spigionare  (di  case).
"""desfizar","sfilare  (l’ago,  la  corona  etc.)  -"
D.  le  badile,mangiar  mollo  dopo  aver
Desfizarsc  fora,perder  le  grinze  le  ru¬
desfodrar,"cavar  dal  fòdero,  sfoderare  !"
'  desfontegar,"trovare  frugando,  scovare,"
desformar,cambiar  in  peggio  la  forma
desfornar,sfornare.
desfornir,sfornire;  tor  via  i  fornimenti:
desfortuna,"sfortuna,  mala  sorte;  infortunio."
desfortunà,"sfortunato,  sventurato,  disgra¬"
’desfosàr,"scavare  il  terreno;  sterrare,  sbas¬"
desfratar,sfrattare.
*desfrito,soffritto.
*dcsfrizer,soffriggere.
*de  sfrus,"di  soppiatto,  di  straforo,  co¬"
"pertamente.  Roba  tolta,  d.",roba  rubata'
desgambarse,"sgranchire  le  gambe,  rin-"
*de  sgamberlón,"sbilenco,  arrancando,"
*desganfir,sgranchire;  sneghettire  l'.ganf.
*desgartiar,strigare  nel  sari  sensi:  rav¬
*desgiarar,spurgar  dalle  ghiaie.  I  '.  giara.
desgiazada,"dighiacciamento,  sgelamento,"
"desgiazar,  desgiazarse","digitativi  .re,  di-"
desgionfar,sgonfiare;  disenfiare.
*desgiustà,"guasto,  scommesso,"
♦desgiustar,"guastare,  scommettere."
*de  sgól,"di  volo,  in  fretta."
*desgosar,rimuovere  l’ intasamento  sta¬
uccello).  Desgosarse  con  uno,aprirsi  con
desgravar,"sgravare,  alleggerire,"
desgravir,alleviamento;  sgravio.
desgràzia,"disgrazia,  disdetta,  volg.  sper¬"
desgrazià,"disgraziato,  sventurato,  sfortu¬"
nato.  User  d.,"anche  andargli  tutto  male,"
aver  la  sperpetua.  Por  d.,povero  disgra¬
*desgraziar,"condurre  a  mala  vita,  scan¬"
*dcsgrezar,"dirozzare,  scozzonare,  digros-"
desgropar,"scioglier  il  gruppo ,  sgruppare  ;"
desgrosàr,"digrossare,  sgrossare,"
desgrostada,"scrostamcnto,  scrostatura,"
desgrostar,"scrostare,  scortecciare  (<>« <  lu¬"
*desgualìv,"disuguale,  male  agguagliato,"
♦desgualivar,disuguagliare;  dispaiare.
* des  guidar,"svitare,"
desgustar,eie.  I  ■  disgustar  eie.
'  desicar,"disseccare,  seccare,  inaridire; strug¬"
desiderar,"desiderare,  aver  voglia,  appe¬"
onori; .  D.  (del  ter/n),"consentire,  confarsi,"
desigilar,"dissigillare,  dissugellare."
♦desiguàl,"a  mano  a  mano,  di  mano  in"
desin,"moneta  da  dieci  centesimi  diecino,"
♦desipar,"sciupare,  conciar  male,  guastare  ;"
desister,"desistere,  cessare,  smettere,"
desistitila,"disistima;  disprezzo,"
desistimar,"disistimare,  dispreizare."
♦de  sitón.  Nar,"sdrucciolare,  seduti,  giù"
de  slanz,"&  balzo,  di  lancio,  d'rin  lancio,"
deslatar,"spoppare,  slattare,  divezzare,"
deslazàr,"slacciare,  sfibbiare,  slegare;  sciar-"
♦deslezerìr,"alleggerire,  alleviare  ;  sgravare,"
desligar,"slegare,  sciogliere,  sciorre.  Che"
no'  se  pìd’d.,indissolubile.  D.  i  cagni
da  casa,sguinzagliare.  D.  sii  le  vigne  -
deslozar,"sloggiare,  sgombrare."
*  desmaliziar,"render  scaltro,  sagace,  scal¬"
desmanegar,"smanicare,"
desmascherar,smascherare  nache  fig.
"desmatonir,  desmatonirse","levare,  per¬"
desmentegàr,dimenticare;  scordare.  Che
no'  .re  pòi  d.,"indimenticabile,  memorabile,"
desmentegón,"smemorato,  dimenticone,"
desmés,smesso;  anco  per  auliipmto  (vo¬
desmeter,"smettere,  lasciare;  porre  da"
♦desmincionar,"levar  d’  errore,  disingan-"
"ilare,  scaltrire.  Dcsmincionarsc","scaltrirsi,"
♦desmisià,sveglio  desto.  Om  d.  *  uomo
•desmisiar,"svegliare,  destare;  Dcsmisiarsc"
far,"farsi  più  attento,  pivi  àlacre;  sve¬"
‘desmoiar,"mettere  in  molle,  immollare;"
"desmonegar,  desmonegarse","smonacare,"
desmontar,"smontare,  scendere.  D.  da"
cavai,smontar  da  cavallo.  1J.  cn  sbiop.
*desmontegar,scioglier  (alla  fine  dell  e-
*desmostrar,"dimostrare;  mostrare,  di¬"
*desmostraziòn,dimostrazione  ;  rappre¬
V'desmular,"vincer  V  ostinazione ,  la  capo¬"
desmurar,"guastare  disfare  il  muro ,  smu¬"
‘desnamorarse,"abbandonar  1  amore,  di¬"
♦desnivàr,"snidare,  scovare,"
desnòve,"diciannòve,  donde,  diciannovesimo,"
desnudàr,"spogliare,  denudare;  mirare."
Disnodarsi  per  uno,"spogliarsi,  levarsi"
desobediènt,"disubbidiènte  ;  indisciplinato,"
desobediènza,disubbidiènza  :  contrav¬
desobedir,"disubbidire;  contravvenire,"
"desolà,  desolato","desolato,  sconsolato,"
desolazión,"desohtzione,  cordoglio,  scon¬"
desonèst,"disonèsto,  impuro  ;  oscèno,"
desonestà,"disonestà,  impurità;  oscenità,"
de  sora,di  sopra.  Star  d.  come  foia  -
"esser  superbo,  vanaglorioso.  D.  via",alla
sora  fu,"di  soprassèllo,  per  giunta,  fi¬"
nta  rea,"soprammercato,"
desórden,"disordine,  scompiglio,  donde  di¬"
sordinatamente  et  e.  En  d.,"in  disordine,"
desordenar,"disordinare,  anche  per  ecce¬"
desorganizar,guastare  una  cosa  orga¬
desorlar,"disfar  /'orto,  disorlare,"
"de  sot,  de  soto",di  sotto.  Esce  al  d.  —
essere  inferiore.  Alar  al  d.,essere  in  cat¬
desotrar,"dissotterrare,  disseppellire,"
despacar,"sciogliere  il  pacco,  spacchettare;"
despaiar,"levar  la  paglia,  spagliare.  Co¬"
rego  despaiada,"sedia,  col  sedere  spa¬"
despalar,"levare  i  pali,  spalate."
*despaltar,sfangare.  V.  palla.
despaltanarse,"fig.  levarsi  d’  impiccio,"
desparar,"disimparare,  dimenticare,"
despareciar,"sparecchiare,"
desparità,"disparità,  disuguaglianza,"
"despàrt,  desparte.  En","in  disparte,  da"
despastar,spaslare.
*despatar,"strigarsi,  torsi  d'impaccio,  di¬"
despatrio,"espatrio,"
despegnar,"spegnare  ;  disimpegnarsi,"
♦despegolar,toglier  via  la  pece  V.  pe¬
"le;  sventato,  temerario.  Caso  d.",caso  di¬
rata.  A  la  desperada,"in  gran  fretta,  alla"
disperata.  A  la  fui  disperati  a,a  caso  di¬
Anima  disperatiti,anima  disperata.  La¬
vorar  come  ’n  d.,"lavorare  accanitamente,"
Nar  attorno  conte  '  n  d.,girare  coni*  un
desperadón,arer.  di  desperà  nel  senso  di
"desperàr,  desperarse",disperare;  dispe¬
desperder,"disperdere,  consumare;  spar¬"
despèrs,"ridotta  a  niènte;  sperso,  ramingo."
Magro  d.,"persona  magra  e  deperita,  ma¬"
"despèssa,  despèrsia",perdizione;  smar¬
rimento  Nar  ivi  ti.,"andare  smarrito,"
de  spes,"spesso,  sovente,  di  frequente,"
despetenàr,"scarmigliare,  spettinare,"
♦despetolar,"disimpacciare,  strigare,  sbro¬"
gliare  ;  liberare .  Dcspctolarsc,ucsirne
Dcspctolarsc  i  bei,"levarsi  le  cispe,  stro¬"
despù^ér,"dispiacere,  rincrescimento;  af¬"
despiantà,V.  spiantò
despiantar,"sbarbare,  svellere,  spiantare."
despiàser,"spiacere,  rincrescere,  dolere."
despiasér,"lutto,  bruno.  Meter,  portar  d."
despicar,spiccare  D.  fritti.
despiociar,"spidocchiare,"
despiombar,"spiombare,"
despoià,"spogliato,  denudato."
despoiar,"spogliare,  svestire,  denudare;"
despoiar,"sciorre,  svolgere  In  fune  (attor¬"
despoltronir,"spoltronire,  spoltrire,"
despóner,"disporre,  anco  per  preparare,"
despontar,spuntare;  anche  per  Despoti-
despontelar,"levare  i puntelli,  spuntellare,"
despretarse,"spretarsi,"
"desprezar,  despreziar","sprezzare,  disprez¬"
despropriar,spropriare;  espropriare  (legai.)
desprovéder,"sprovvedere,  sguarnire,"
desramar,diramare  (in  piò  anidri  disra¬
desrizàr,diricciare.
desruzenir,"dirugginire,  srugginire."
'destabarar,"levare  il  tabarro,  il  mantello,"
destacamént,distaccamento  (di  soldati).
destacar,"distaccare,  staccare;  spiccicare."
Destarne  d'adòs  o  d’ atomo,levare  di
destaco,"distacco,  separazione;  abbandono."
D.  da l  mondo,"d.  dal  mondo,"
destagnar,levare  lo  stagno.
‘destanar,"stanare,  scovare."
destarocarse,"giocare  tarocchi,  starciccarc."
'destediar,"tediare,  molestare,  disturbare;"
♦destendagio,"tenditoio,"
destènder,"distendere,  stendere.  D.  la  bu-"
gada,"tendere  (sulle  corde),  stendere  ( piut¬"
desterminar,"sterminare,  (in  qualche  au¬"
destin,"destino,  fatalità,  sorte.  Ei  par"
en  d.,un  destino  !  pare  un  destino  !  è
destinar,"destinare,  stabilire,  assegnare,"
destinguer,distinguere.  No  d.  el  di  da
"la  nò/,  i  bisi  da  le  fare",non  distinguere
se  poi  d.,distinguibile;  che  no  se  pòi  il.
destìnt,"distinto;  eccellente,  singolare,"
destinzión,distinzione  ne’  vari  sensi.
destocar,sciorre  ciò  che  è  compatto
♦destortolar,"sciogliere,  discioglierc  (cosa"
destòrier,"storcere,  stravolgere;  distor¬"
*de  strafugo,"di  soppiatto,  di  straforo."
Portar  via  d.  s.,"trafugare,  trafugamento,"
de  strani.  Parer,"sembrare  strano,"
'destrempar,stemperare;  intiepidire.
destreza,"destrezza,  agilità  ;  scaltrezza,  ac¬"
destribuir,P.  distribuii.
‘  destrigar,"sbrigare,  disimpegnarc  ;  levar"
♦dèstro,"còmodo;  agévole,  opportuno;  co¬"
"modamente,  agiatamente.  Meter  d.",ada¬
giare.  Star  d.,"stare,  giacere  ctc.  a  lul-"
dèstro,"accorto,  scaltro,  dèstro,"
destronizar,"detronizzare,"
destropar,"schiudere  ;  stasare  (il  naso,  un"
destruger,distruggere  ;  consumare;  atter¬
destruzión,"distruzione;  disfacimento,"
desuàder,"dissuadere,  donde  dissuasione,"
♦desumanà,"sciamannato,  scomposto;  tur¬"
'desumanar,"usar  modi  disumani,  trattar"
desùmer,"desumere,  ricavare,  dedurre,"
desunión,"disunione,  separazione;  discordia,"
desunir,"disunire,  separare,  disgiungere,"
desusàr,"disusare,  divezzare;  smettere,"
♦desvari,"divario,  divergenza."
♦desvegiar,"svegliare,  destare  ;  scuotere,"
desviar,"sviare,  deviare,"
desvidar,"disdire  l'invito,  disinvitare,"
desvinar,svinare.
♦desvisciar,spaniare.  V.  visito
desviziar,"levare  il  vizio,  emendare,  di¬"
♦desvólzer,"dipanare  (una  matassa),  donde"
♦desvolàò,radunata  di  donne  per  la  di¬
*deszolàr,"slacciare,  sciogliere;  sbottonare"
detagliar,"esporre,  riferire,  minutamente,"
detaglio,"ragguaglio  minuto,  i  particolari,"
'  der  en  d.,"vendere  a,  al  minuto,  in  det¬"
de  tant  en  tant,"di  tratto  in  tratto,  di"
detenù,"detenuto  ;  prigioniero,"
deteriorar,"deteriorare,  peggiorare,"
lire.  Determinarle.,"determinare,  decidere,"
determinazión,"determinazione,  decisione,"
dettar,"detrarre  (alta  fama  ,  levare,  de¬"
de  travèrs,"trasversalmente,  a.  in,  di  tra¬"
verso.  Vardar  d.,"guardar  di  mal  occhio,"
*de  trebisonda.  Nar,"andare  a  onde,"
de  trinca,V.  trinca.
devastazión,"devastazione,  da  devastare;"
deventar,"diventare,  divenire  ;  passare  (da"
un  grado  a  uno  maggiore).  D.  agro,di¬
"ventare  agro,  inacidire.  D.  asedo",inace¬
chire  ;  brut,"imbruttire,  rimbruttire;"
"-  ingrandire,  crescere;  mal",impazzire;
pillai '-  impallidite;  pieoi,"impiccolire,  di¬"
rùien,"arrugginire,  abbronzare;  savi  -"
"sarsi,  raffittirsi;  stùpido","ingnillire,  im¬"
"becillire,  ingiucchire;  superbo",insuperbire;
*devéncer,"convincere;  indurre,  smuo¬"
giuno.  Bcvcr  a  d .,"bere  a  digiuno,  fattiti."
a.  sciac(|uabudcila.  Rotcr  el  d.,rompere
*dezunar,digiunare;  astenersi.  V.  desini.
dì,"giorno,  meno  usato  di  :  giornata,  fiat"
dì,"di  giorno.  Che  se  fa,  se  ved»  dal  di  -"
diurno  ;  ogni  dì,"ogni  giorno,  ogni  di  ;"
d’ogni  dì,"d’ogni  giorno,  giornaliero,  quo¬"
"-  feriale,  di  lavoro  ;  dei  Salili",0 g ni s aulì  ;
de  la  ceribla  V.  —  Dì  e  nbt,giorno  e
rare).  'En  guai  dì,"sul  far  del  giorno,"
all’ aggiornare.  A  dì,a  giornate  ne'  vari
obi.  V.  ancòi.  Bon  di  e  bon  an,senza
lìomlì  storia,"buon  di,  buon  giorno  si¬"
la  not,differentissimo;  correrci  quanto
dal  giorno  alla  notte.  L'altro  dì,l’al¬
"tro  giorno,  l’altro  ieri,  /.a  e  dì",giorni
fa.  Tut  et  santo  dì,"tutto  il  giorno,  lutto"
diàcon,"diàcono,  donde  diaconato,"
diaconesa,"diaconessa,"
dialèt,"dialetto,  donde  dialettale,  dialet¬"
diàlogo,dialogo.  Scritor  de  dialoghi  ■
diamante,diamante.  Dnr  come  cn  d.  -
diarnantìn,diamantino.
*diàmberna!,esc/am.  diàmine!  D.  d'eri
"male/,  de  un  dona","diàscolo  eie.  V.  diàol,"
♦diàmbez,"ettf.  per  diavolo,  diàmine,  dià-"
— scolo.  l'Or  et  d.,"fare  il  diàscolo,  un  dia¬"
voletti.  Por  d.,io  stesso  che  Por  diàol
diana  baco  !,esc/am.  etif.  in  luogo  di
diàmine!  Averghe  e!  d.  adòs,aver  il  dia¬
d.,"aver  una  fame,  una  sete  ctc.  grande,  del"
diavolo.  Boa  d.,"uomo  bonario,  buon  dia¬"
de...!  ( di  persona  valente),che  diavolo
d'un...!  Che  d.  !,che  diavolo!  che  diàmi¬
volg.),"il  diavolo  mi  porti,  mi  porti  via."
porta,"va.  andate  al  diavolo,  al  diàscolo,"
che  il  d.  li  porti!  Corpo  del  d.,diavolo!
diàmine  !  Da  d.,.diabòlico  -.livide  diabo¬
licamente.  D.  descadenà,"vivacissimo,  irre-"
tenalo.  Far  el  d.  far  el  d.  a  qualro,fare
il  diavolo  a  quattro.  Eser  eri  d.,persona
dar  al  d.,"imprecare  contro,  mandare  a"
al  d.,"andare  in  rovina,  andare  al  diavolo."
Ma  /’  è  '/  </.,di  donna  o  cosa  non  di¬
vólto  (li  diètro.  Por  d.,povero  diavolo
si  brut  conte  i  lo  deperì  ir,il  diavolo  non
sempre  sui  mudo  pu  grès,la  roba  va
grosso.  Eri  d.  scasa  l'altro,un  d.  scaccia
diàola,V.  diàol.
'diaolamént,"diavoleria  ;  scompiglio,  taffe¬"
diaolét,"demonietto,  diavolino,  diavoletto;"
diavoléz,"confusione,  chiasso,  diavoleto."
diaolìn,V.  diaolét.  Aver  o  sentir  i  d.
cu  te  i  dedi,"avere  le  mani  intirizzite,  in¬"
diaolòn,diavolone.
diatriba,"diatriba,  disputa,  battibecco."
:diaz  (s.  f.),"ghiaccio,  che  a  Firenze  dicesi"
dibàter,"detrarre,  defalcare,  coni mere."
dìbatimént,"dibattimento;  discussione,"
dicasteri,"dicastero,  ministero,"
dicèmbre,dicèmbre.
dicerìa,"ciarla,  diceria.-  Eserghe  fbr  la  d."
"diijèrner,  dicernìr","veder  chiaro,  discer¬"
dìtjervelarse,"lambiccarsi,  stillarsi  il  cer¬"
dichiarar,"dichiarare,  anco  per  senten¬"
dichiarazicn,dichiarazione  ;  manifestazione.
Far  no  d.,"fare  una  d.  amorosa,  anche"
dièta,"dieta  donde  dietètico  ( med .).  Star,"
tegnir  en  d.,"stare,  tenere  a,  in  dieta,"
♦dièta,diaria  (assegno  giornaliero  per
difalcar,"dedurre,  sottrarre,  defalcare,"
difalco,"deduzione,  defalco,"
difaraar,"diffamare  donde  diffamatore,"
difamazión,"diffamazione,"
difender,difendere;  sostenere  ;  patrocinare
"(una  causa,  un  accusato  etc.)",Difènderse
{dal  fred  etc.),"difendersi,  ripararsi.  Di¬"
fendere  ab  asta  iì  za  ben,conoscer  benino
difensór,"difensore,  patrocinatore,"
diferènt,differente  ;  diverso.
diferènza,"differenza,  anche  per  grave"
Eserghe  d.,"esserci  differènza,  differire,"
córrerci.  Gh ’  è  na  bela  d.,c’  è  una  bella
notte.  D.  de  poc.,"d.  di  poco  conto,  dif-"
difésa,difesa;  patrocinio.  Tòr  la  d.  de
uno,prendere  le  difese  di  uno.
difèt,"difètto,  imperfezione  ( fisica  0  mo¬"
"gagna.  D,  del  bever  etc.","vizio,  pecca  del"
bere  etc.  Ognun  g’  ha  i  so  difèti,cia¬
"stre  tàccole,  Chi  è  ’n  d.  è  in  s\spèt",chi
difetà,"difettoso,  (d' imperfezioni  corporali)."
difetós,"difettoso;  manchevole,"
difetòt,"difettuccio,  tacchcrèlla  ( questo  iron."
♦difiiji,"opificio;  arnesi  per  fare  l’aceto,"
difida,"diffida;  intimazione,"
difidàr,diffidare;  intimare.
difidènt,"diffidènte,  sospettoso,"
difidènza,"diffidènza,  sospètto,"
digerir,"digerire,  anco  figur.  ;  soffrire,  sop¬"
portare.  Che  se  pòi  d.,"digeribile,  donde"
digeribilità.  No  pode'r  d.,non  poter  di¬
dìgestión,digestione.  Che  serve  a  la  d.
dilazionar,"differire,  burocr.  dilazionare"
Che  tende  a  far  d.,dilatorio.  V.  tardiva!-
diletante,"dilettante  ;  amatore,"
"diletar,  diletarse","avere,  trovar  diletto,"
diligènza,"diligènza,  accuratezza,"
diligènza  ( poco  uscito),grande  vettura
dilungarse,prolungare  il  discorso  dilun¬
diluviar,"diluviare,  piovere  a  dirotto.  Le"
"diluviava  (bàie,  legnade)","diluviavano,  era"
diluvio,"diluvio,  anco  per  gran  quantità,"
dimagri,"dimagrato,  smagrito,"
dimeter,"levar  da  un  ufficio,  dimettere,"
Dimet terse,rinunziare  a  un  uff \  dimet¬
diminuir,"diminuire,  scemare;  calare  (di"
diminuzión,"diminuzione;  calo,"
dimisión,dimissione.
dimostrazión,"dimostrazione,  ne’  vari"
sensi.  D.  finta,lustra.
dina!  Per,per  dine!  1  per  giòve  !
♦dinasta,chi;  se  i  giocatori  sono  più  che
"♦dindai,  dindaia,  dindaión",noni  grande
dindin,"suono  di  campanello,  dindin,  di-"
♦dindio,tacchino.  V.  pòi/.
♦dindolamént,dondolamento;  tentenna¬
♦dindolar,dondolare.  V.  ninar.  Dindo-
larse,sculettare  (camminando).
dindòn,"suono  delle  campane  dindòn,  col"
♦dindonar,"tentennare,  traballare."
